Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Created object 'Transporters[1]'.
0,Transporters[1],Transporters[1],0.OnCreated,[Begin],Process 'Transporters[1].OnCreated' execution started.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,Transporters[1],Transporters[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Transporters[1].HomeNode' the value 'Home'. Previous value was 'Nothing'.
0,Transporters[1],Transporters[1],0.OnCreated,[End],Process 'Transporters[1].OnCreated' execution ended.
0,--,--,--,--,Created object 'Pickers[1]'.
0,Pickers[1],Pickers[1],0.OnCreated,[Begin],Process 'Pickers[1].OnCreated' execution started.
0,Pickers[1],Pickers[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Pickers[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,Pickers[1],Pickers[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Pickers[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,Pickers[1],Pickers[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Pickers[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,Pickers[1],Pickers[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'Pickers[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
